IconKind,SVG File,HasPathData
None,,no
Loading,Loading.svg,yes
WindowClose,WindowClose.svg,yes
WindowMinimize,WindowMinimize.svg,yes
WindowMaximize,WindowMaximize.svg,yes
WindowRestore,WindowRestore.svg,yes
VolumeHigh,VolumeHigh.svg,yes
Video,Video.svg,yes
Play,Play.svg,yes
Package,Package.svg,yes
LinkVariant,LinkVariant.svg,yes
Magnify,Magnify.svg,yes
Download,Download.svg,yes
NewBox,NewBox.svg,yes
ContentCopy,ContentCopy.svg,yes
ContentCut,ContentCut.svg,yes
ContentSave,ContentSave.svg,yes
ContentPaste,ContentPaste.svg,yes
Eraser,Eraser.svg,yes
MenuDown,MenuDown.svg,yes
MenuRight,MenuRight.svg,yes
Information,Information.svg,yes
CheckCircle,CheckCircle.svg,yes
Monitor,Monitor.svg,yes
MonitorOff,MonitorOff.svg,yes
MonitorEye,MonitorEye.svg,yes
CheckboxBlankOutline,CheckboxBlankOutline.svg,yes
Import,Import.svg,yes
FolderMoveOutline,FolderMoveOutline.svg,yes
Multimedia,Multimedia.svg,yes
FolderSettings,FolderSettings.svg,yes
Home,Home.svg,yes
